"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of 1 Jan 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"2 May 2026 8:18:58 am UTC","27084781812","Shipping Services","408-1100118-4113143","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","20 May 2026 11:51:29 am UTC"
"2 May 2026 8:19:05 am UTC","27084781812","Order","403-6081981-6499542","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Perambalur","TAMIL NADU","621104","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","16 May 2026 1:24:00 pm UTC"
"2 May 2026 8:19:11 am UTC","27045218532","Order","407-7400104-7866760","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BHOPAL","MADHYA PRADESH","462016","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","14 May 2026 6:18:09 am UTC"
"2 May 2026 8:19:16 am UTC","27084782842","Order","408-7230069-3340307","YR-QF1H-KY1O","Diamond Deluxe BP Cuff with Bladder, Bulb and Valve for Aneroid/Mercurial Sphygmomanometer, Adult, 300 grams","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","SHILLONG","MEGHALAYA","793001","739.00","0","0","0","0","0","0","0","0","0","0","-53.10","0","685.90","Released","16 May 2026 4:48:46 am UTC"
"2 May 2026 8:19:20 am UTC","27084782842","Order","171-7215883-2831539","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BAGAHA","BIHAR","845105","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Released","15 May 2026 5:21:13 am UTC"
"2 May 2026 8:19:32 am UTC","27045331432","Order","407-5900508-7192350","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","BELAGAVI","KARNATAKA","590006","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Released","14 May 2026 7:24:32 am UTC"
"2 May 2026 8:19:37 am UTC","27084782842","Order","408-4371942-0418734","IG-ONBR-37FB","Vats Institution/Hospital Pack 1000 Glucometer Round Lancets,Blue | Dr. Morepen Supported Glucometer Round Blood Lancet 1000 Pcs Blue Colour","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","CHENNAI NEAR KAMBAR NAGAR AUTO STAND","TAMIL NADU","600082","449.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","423.04","Released","15 May 2026 6:47:47 am UTC"
"2 May 2026 8:19:42 am UTC","27084781812","Order","408-1037557-2614753","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","KOLKATA","WEST BENGAL","700029","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","14 May 2026 11:33:51 pm UTC"
"2 May 2026 8:19:43 am UTC","27084781812","Order","406-4841186-8790706","RJ-XV78-3TB9","TICCI Retractable Car Charger [60W USB C with Wires] Fast Charging Car Charger for iPhone 16, Gift for Men Women, USB Phone Charger for iPhone 16 15 1","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","NORTH LAKHIMPUR","ASSAM","787031","1,139.00","0","0","0","0","0","0","0","0","-228.48","0","-89.68","0","820.84","Released","16 May 2026 6:15:30 am UTC"
"2 May 2026 8:19:47 am UTC","27084782842","Order","406-9936417-8397113","QV-DKIC-8EG0","Aneroid Dial Type Sphygmomanometer Blood Pressure Monitor | BP Apparatus Manual | Manual Blood Pressure Machine| For Precise Measurements | Readable a","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Tamluk","WEST BENGAL","721636","629.00","0","0","0","0","0","0","0","0","0","0","-53.10","0","575.90","Released","14 May 2026 11:09:36 pm UTC"
"2 May 2026 8:19:47 am UTC","27045331432","Shipping Services","407-5900508-7192350","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","14 May 2026 7:20:21 am UTC"
"2 May 2026 8:19:59 am UTC","27084782842","Order","405-8669939-0335567","S8-FE8E-QA8P","Stainless Steel Instrument Tray with Lid | Surgical Sterilization Tray with Cover | Medical & Dental Tools Organizer | Rust-Resistant & Durable Instru","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","THRISSUR","KERALA","680012","469.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","443.04","Released","15 May 2026 7:00:24 am UTC"
"2 May 2026 8:20:03 am UTC","27045331432","Shipping Services","403-5015380-6749911","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","13 May 2026 5:30:13 am UTC"
"2 May 2026 8:20:03 am UTC","27084781812","Shipping Services","403-6081981-6499542","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","16 May 2026 9:18:45 pm UTC"
"2 May 2026 8:20:03 am UTC","27084782842","Shipping Services","171-7215883-2831539","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","15 May 2026 5:40:25 am UTC"
"2 May 2026 8:20:06 am UTC","27084781812","Shipping Services","171-4648266-1082764","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","15 May 2026 11:04:01 pm UTC"
"2 May 2026 8:20:10 am UTC","27084782842","Order","407-4546675-8882760","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","CHENNAI","TAMIL NADU","600088","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","15 May 2026 6:29:03 pm UTC"
"2 May 2026 8:20:10 am UTC","27045218532","Order","403-5311369-0904317","XG-NG2E-YVR1","VATS Hemostatic Artery Forceps - Premium Stainless Steel Hemostatic Clamps for Surgical, Dental & Veterinary Use","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HARIDWAR","UTTARAKHAND","249205","329.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","303.04","Released","13 May 2026 11:14:57 am UTC"
"2 May 2026 8:20:11 am UTC","27084782842","Order","403-9619592-9368350","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HINDUPUR","ANDHRA PRADESH","515201","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","15 May 2026 4:52:35 am UTC"
"2 May 2026 8:20:13 am UTC","27129830212","Order","408-6438128-9494769","XG-NG2E-YVR1","VATS Hemostatic Artery Forceps - Premium Stainless Steel Hemostatic Clamps for Surgical, Dental & Veterinary Use","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Hyderabad","TELANGANA","500008","329.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","303.04","Released","21 May 2026 6:12:58 pm UTC"
"2 May 2026 8:20:16 am UTC","27084781812","Order","407-9990909-2241113","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Vellore","TAMIL NADU","635651","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","16 May 2026 7:43:54 am UTC"
"2 May 2026 8:20:19 am UTC","27084781812","Shipping Services","408-1037557-2614753","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","14 May 2026 12:47:04 pm UTC"
"2 May 2026 8:20:20 am UTC","27045218532","Shipping Services","407-7400104-7866760","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","14 May 2026 6:26:31 am UTC"
"2 May 2026 8:20:24 am UTC","27084781812","Order","403-3931719-9620338","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GUWAHATI","ASSAM","781016","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","16 May 2026 6:48:20 am UTC"
"2 May 2026 8:20:26 am UTC","27084782842","Shipping Services","406-9936417-8397113","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","14 May 2026 9:22:13 pm UTC"
"2 May 2026 8:20:28 am UTC","27084782842","Order","402-9659132-6177917","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","TUMKUR","KARNATAKA","572107","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","14 May 2026 9:09:01 pm UTC"
"2 May 2026 8:20:33 am UTC","27084782842","Shipping Services","408-7230069-3340307","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","16 May 2026 4:53:50 am UTC"
"2 May 2026 8:20:36 am UTC","27129830212","Order","408-2016733-5842709","K7-Z0KL-IMNP","BP Armlet Bag Green Color, Blood Pressure Bladder Bag for Medical Use, Adult, 18x10x16 cm","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GOPALGANJ","BIHAR","841425","498.00","0","0","0","0","0","0","0","0","0","0","-2.36","0","495.64","Released","21 May 2026 10:39:32 pm UTC"
"2 May 2026 8:20:38 am UTC","27084782842","Order","405-7599827-9925910","NF-MDW6-E5UB","LawMed Care Kelly Hemostat Forceps 5.5 CVD","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","SRICITY","ANDHRA PRADESH","517588","269.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","267.82","Released","16 May 2026 8:34:18 pm UTC"
"2 May 2026 8:20:46 am UTC","27084781812","Shipping Services","406-4841186-8790706","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","16 May 2026 6:00:55 am UTC"
"2 May 2026 8:20:49 am UTC","27084782842","Shipping Services","408-4371942-0418734","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","15 May 2026 6:39:56 am UTC"
"2 May 2026 8:20:49 am UTC","27045218532","Order","406-3322107-2336310","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","CHAPRA","BIHAR","841301","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Released","14 May 2026 6:18:32 am UTC"
"2 May 2026 8:20:51 am UTC","27084782842","Shipping Services","403-9619592-9368350","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","15 May 2026 5:04:41 am UTC"
"2 May 2026 8:20:54 am UTC","27045331432","Order","406-3325833-2429933","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","NEW DELHI","DELHI","110078","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","12 May 2026 7:40:40 am UTC"
"2 May 2026 8:20:58 am UTC","27084782842","Shipping Services","407-4546675-8882760","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","15 May 2026 3:46:27 pm UTC"
"2 May 2026 8:21:00 am UTC","27084781812","Order","405-9269465-7693911","XG-NG2E-YVR1","VATS Hemostatic Artery Forceps - Premium Stainless Steel Hemostatic Clamps for Surgical, Dental & Veterinary Use","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Chengamanad","KERALA","683578","329.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","303.04","Released","15 May 2026 6:03:19 am UTC"
"2 May 2026 8:21:01 am UTC","27045218532","Order","405-4142326-9700314","IG-ONBR-37FB","Vats Institution/Hospital Pack 1000 Glucometer Round Lancets,Blue | Dr. Morepen Supported Glucometer Round Blood Lancet 1000 Pcs Blue Colour","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HYDERABAD","TELANGANA","500098","449.00","0","0","-17.96","0","0","0","0","0","0","0","-25.96","0","405.08","Released","14 May 2026 5:54:35 am UTC"
"2 May 2026 8:21:02 am UTC","27045218532","Shipping Services","403-5311369-0904317","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","13 May 2026 3:05:20 pm UTC"
"2 May 2026 8:21:04 am UTC","27084781812","Shipping Services","407-9990909-2241113","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","16 May 2026 7:33:01 am UTC"
"2 May 2026 8:21:05 am UTC","27084782842","Shipping Services","405-8669939-0335567","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-88.50","0","-88.50","Released","15 May 2026 6:45:29 am UTC"
"2 May 2026 8:21:05 am UTC","27045331432","Order","406-9111653-2334719","3T-JRIS-MPXU","KooingTech Pressure Bulb Pump, Latex Blood Pressure Bulb, Black Squeeze Bulb Pump for Manually Inflating Blood Pressure Replacement Parts","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Merta City","RAJASTHAN","341510","183.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","181.82","Released","11 May 2026 6:46:41 am UTC"
"2 May 2026 8:21:08 am UTC","27084782842","Order","404-7411409-4043559","6C-3XIL-OAL4","DIIOOMIEEU Blood Pressure Inflation Latex Bulb with Twist Air Release for","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KHAMGAON","MAHARASHTRA","444303","376.00","0","0","0","0","0","0","0","0","0","0","-2.36","0","373.64","Released","15 May 2026 6:28:44 am UTC"
"2 May 2026 8:21:22 am UTC","27129830212","Shipping Services","408-6438128-9494769","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","21 May 2026 5:55:20 pm UTC"
"2 May 2026 8:21:36 am UTC","27084781812","Shipping Services","403-3931719-9620338","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","16 May 2026 7:11:07 am UTC"
"2 May 2026 8:21:38 am UTC","27045218532","Shipping Services","405-4142326-9700314","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","14 May 2026 5:49:21 am UTC"
"2 May 2026 8:21:45 am UTC","27045218532","Shipping Services","406-3322107-2336310","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","14 May 2026 6:18:21 am UTC"
"2 May 2026 8:21:47 am UTC","27045331432","Shipping Services","406-9111653-2334719","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","11 May 2026 6:43:15 am UTC"
"2 May 2026 8:21:47 am UTC","27084782842","Shipping Services","402-9659132-6177917","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","14 May 2026 11:14:07 pm UTC"
"2 May 2026 8:21:50 am UTC","27129830212","Shipping Services","408-2016733-5842709","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-88.50","0","-88.50","Released","21 May 2026 7:07:05 pm UTC"
"2 May 2026 8:21:53 am UTC","27045331432","Shipping Services","406-3325833-2429933","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","12 May 2026 7:24:32 am UTC"
"2 May 2026 8:21:55 am UTC","27084782842","Shipping Services","405-7599827-9925910","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","16 May 2026 9:45:06 pm UTC"
"2 May 2026 8:22:14 am UTC","27084781812","Shipping Services","405-9269465-7693911","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","15 May 2026 6:10:15 am UTC"
"2 May 2026 8:22:17 am UTC","27084782842","Shipping Services","404-7411409-4043559","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","15 May 2026 6:18:46 am UTC"
"3 May 2026 8:01:11 am UTC","27084781812","Order","407-4042317-7624311","C6-UJZ5-4YH2","Vats Premium Flat Lancet Needle - Pack of 100 Pieces (White Color) for Accu-check Glucometer Lancet 100 Pcs (100)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","HOJAI","ASSAM","782435","210.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","208.82","Released","16 May 2026 5:22:22 am UTC"
"3 May 2026 8:01:14 am UTC","27084782842","Order","407-4455692-6392358","HL-QR45-P2LQ","VATS Wireless Hearing Aid Earbuds (Black, New 2) - Rechargeable Bluetooth-Style Sound Amplifier for Seniors | Noise Reduction & Discreet Hearing Devic","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","AHMEDABAD","GUJARAT","382340","3,169.00","0","0","-126.76","0","0","0","0","0","-287.19","0","-89.68","0","2,665.37","Released","14 May 2026 1:29:27 pm UTC"
"3 May 2026 8:01:15 am UTC","27084781812","Order","405-7663485-7647526","C6-UJZ5-4YH2","Vats Premium Flat Lancet Needle - Pack of 100 Pieces (White Color) for Accu-check Glucometer Lancet 100 Pcs (100)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","RAHTA","MAHARASHTRA","413710","210.00","0","0","0","0","0","0","0","0","0","0","-1.18","0","208.82","Released","16 May 2026 5:18:07 pm UTC"
"3 May 2026 8:01:15 am UTC","27084781812","Order","405-2213558-5432363","QG-YMXG-BWXK","VATS Original Diamond Regular BP Cuff with Bladder, Bulb & Valve | Silicone tubing and Bladder | Standard Size Arm Cuff for Manual Sphygmomanometer |","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","HYDERABAD","TELANGANA","500078","679.00","0","0","0","0","0","0","0","0","0","0","-53.10","0","625.90","Released","15 May 2026 11:26:40 pm UTC"
"3 May 2026 8:01:20 am UTC","27084782842","Order","402-2334699-9230738","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Varanasi","Uttarpradesh","221002","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Released","19 May 2026 3:39:37 pm UTC"
"3 May 2026 8:01:38 am UTC","27084781812","Shipping Services","407-4042317-7624311","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","16 May 2026 5:13:39 am UTC"
"3 May 2026 8:01:42 am UTC","27084782842","Order","171-0528845-5745913","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","PRAYAGRAJ","UTTAR PRADESH","211011","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Released","14 May 2026 7:43:17 pm UTC"
"3 May 2026 8:02:07 am UTC","27084781812","Shipping Services","405-2213558-5432363","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","15 May 2026 8:47:18 pm UTC"
"3 May 2026 8:02:19 am UTC","27084782842","Shipping Services","407-4455692-6392358","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","14 May 2026 9:10:21 pm UTC"
"3 May 2026 8:02:20 am UTC","27084782842","Shipping Services","402-2334699-9230738","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","19 May 2026 10:21:54 pm UTC"
"3 May 2026 8:02:28 am UTC","27084781812","Shipping Services","405-7663485-7647526","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","16 May 2026 11:34:15 pm UTC"
"3 May 2026 8:02:40 am UTC","27084782842","Shipping Services","171-0528845-5745913","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","14 May 2026 8:19:59 pm UTC"
"3 May 2026 10:54:31 am UTC","27002933812","Service Fee","","","Cost of Advertising","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-2,056.86","-370.23","-2,427.09","Released","3 May 2026 10:54:31 am UTC"
"4 May 2026 8:42:53 am UTC","27084782842","Order","407-0705198-7274748","DG-0ZFV-JKMX","VATS Original Diamond BP Cuff with Bladder, Bulb and Valve | Blood Pressure Monitor Durable, Easy to Use, Medical Grade (Regular BP Cuff with Bladder5","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KOLKATA","WEST BENGAL","700130","669.00","0","0","0","0","0","0","0","0","0","0","-53.10","0","615.90","Released","16 May 2026 7:19:31 am UTC"
"4 May 2026 8:43:00 am UTC","27045218532","Order","403-9056603-2762702","QW-F1J9-OW6Y","Adult Nebulizer Mask Universal Fit | Replacement Mask for Nebulizer Machine | Soft, Comfortable & Durable Oxygen Mask for Respiratory Therapy | 1 Piec","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Ajmer","RAJASTHAN","305004","185.00","0","0","-7.40","0","0","0","0","0","0","0","-1.18","0","176.42","Released","13 May 2026 7:46:42 am UTC"
"4 May 2026 8:43:08 am UTC","27084782842","Order","405-2489655-0281105","DG-0ZFV-JKMX","VATS Original Diamond BP Cuff with Bladder, Bulb and Valve | Blood Pressure Monitor Durable, Easy to Use, Medical Grade (Regular BP Cuff with Bladder5","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BEEJOLIYA","RAJASTHAN","311602","669.00","0","0","0","0","0","0","0","0","0","0","-53.10","0","615.90","Released","19 May 2026 4:49:47 am UTC"
"4 May 2026 8:43:25 am UTC","27129776332","Order","407-3222371-4662750","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","SIPCOT PERUNDURAI","TAMIL NADU","638052","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Released","23 May 2026 8:46:05 pm UTC"
"4 May 2026 8:43:26 am UTC","27084782842","Order","171-8016673-5329921","B0FHKN2Q5C","VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","MUMBAI","MAHARASHTRA","400092","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Released","15 May 2026 8:42:51 pm UTC"
